"Fx"	"z"	"Lx"
2.87171977843201e-13	0.045	1.36721371669093e+42
1.95565413821117e-13	0.045	9.3107871560004e+41
2.80844510749464e-13	0.045	1.33708891180071e+42
2.21301208547461e-13	0.045	1.0536057526183e+42
2.56239826739076e-13	0.045	1.2199470453606e+42
3.13781516949424e-13	0.045	1.49390061397837e+42
3.22814986251188e-13	0.045	1.53690858164791e+42
2.74599361935937e-13	0.045	1.30735602078273e+42
2.84793503170946e-13	0.045	1.35588989874347e+42
2.4148973331887e-13	0.045	1.14972247053252e+42
4.07520783404215e-13	0.045	1.94018932171404e+42
3.10863288692298e-13	0.045	1.48000705189915e+42
2.82436880130472e-13	0.045	1.3446701154965e+42
4.55363630830054e-13	0.045	2.16796710747652e+42
4.19390060739602e-13	0.045	1.99669845224282e+42
3.47724122498474e-13	0.045	1.65549993239178e+42
3.33185012380035e-13	0.045	1.58627984019579e+42
4.71134013498288e-13	0.045	2.24304923653177e+42
4.52083025413948e-13	0.045	2.15234828297409e+42
4.8799539542648e-13	0.045	2.32332556720905e+42
4.7933756943378e-13	0.045	2.2821060215457e+42
3.87464957205025e-13	0.045	1.84470437612483e+42
4.6047476048065e-13	0.045	2.19230098092255e+42
4.44246974576108e-13	0.045	2.11504117428387e+42
4.26027455771203e-13	0.045	2.02829881101897e+42
5.10997505253745e-13	0.045	2.4328376453194e+42
5.32730951525411e-13	0.045	2.5363096695634e+42
4.44118580320727e-13	0.045	2.1144298946304e+42
6.35078131955753e-13	0.045	3.02358029394656e+42
5.81383178756442e-13	0.045	2.76794087856022e+42
6.86661836770975e-13	0.045	3.2691681445119e+42
6.89789942852295e-13	0.045	3.28406092609096e+42
5.94788064668757e-13	0.045	2.83176097698222e+42
6.79103606531121e-13	0.045	3.23318372801191e+42
7.08774274142144e-13	0.045	3.37444452945165e+42
7.19019778733027e-13	0.045	3.42322294619092e+42
7.41597992515289e-13	0.045	3.53071687304733e+42
8.14558139220924e-13	0.045	3.87807706500239e+42
8.34828012940451e-13	0.045	3.97458108183951e+42
8.19106110104829e-13	0.045	3.89972976322973e+42
1.07440892689822e-12	0.045	5.11521574362141e+42
9.70298013143504e-13	0.045	4.61954805901048e+42
1.06552897675998e-12	0.045	5.07293867423701e+42
9.98039337079276e-13	0.045	4.75162333630255e+42
1.1630305800449e-12	0.045	5.53713970949009e+42
1.18557720734979e-12	0.045	5.64448325445534e+42
1.41272457633889e-12	0.045	6.72592233122249e+42
1.80934631324424e-12	0.045	8.61422175064171e+42
1.59491758910106e-12	0.045	7.59333560742208e+42
2.79224341136571e-12	0.045	1.32937535236935e+43
2.73559112426581e-12	0.045	1.3024034365903e+43
3.2796965969132e-12	0.045	1.56144976524577e+43
3.77876176401714e-12	0.045	1.79905259373613e+43
