z Lx kcorr
0.25 1.4658665911121e+43 0.9811
0.25 1.67363134261978e+43 0.9976
0.25 1.91084365247335e+43 0.9976
0.25 2.18167727337263e+43 1.011
0.25 2.49089752528407e+43 1.011
0.25 2.84394514128792e+43 1.027
0.25 3.24703199732501e+43 1.027
0.25 3.70725041020933e+43 1.027
0.25 4.23269792700523e+43 1.039
0.25 4.83261980144005e+43 1.039
0.25 5.5175716642256e+43 1.052
0.25 6.2996052494744e+43 1.052
0.25 7.19248044506816e+43 1.059
0.25 8.21190739800786e+43 1.059
0.25 9.37582293458945e+43 1.071
0.25 1.0704706159022e+44 1.071
0.25 1.22219387834487e+44 1.071
0.25 1.39542165293784e+44 1.08
0.25 1.59320188391447e+44 1.08
0.25 1.81901451619634e+44 1.09
0.25 2.0768327250551e+44 1.09
0.25 2.37119282416671e+44 1.098
0.25 2.70727408209078e+44 1.098
0.25 3.09098985154704e+44 1.098
0.25 3.5290916149089e+44 1.106
0.25 4.02928777659586e+44 1.106
0.25 4.60037929251778e+44 1.113
0.25 5.25241452297211e+44 1.113
0.25 5.99686603363297e+44 1.121
0.25 6.84683245544589e+44 1.121
0.25 7.81726895515578e+44 1.126
0.25 8.92525037159882e+44 1.126
0.25 1.0190271647643e+45 1.126
0.25 1.16345908438818e+45 1.133
0.25 1.32836207694079e+45 1.133
0.25 1.51663761204147e+45 1.137
0.25 1.73159839940343e+45 1.137
0.25 1.97702667599047e+45 1.141
0.25 2.25724075451014e+45 1.141
0.25 2.57717100416405e+45 1.141
0.25 2.9424466005379e+45 1.145
0.25 3.35949457099589e+45 1.145
0.25 3.83565287828418e+45 1.15
0.25 4.37929953205086e+45 1.15
0.25 5e+45 1.154
0.3 1e+40 0.1702
0.3 1.14173510247619e+40 0.1727
0.3 1.30355904422631e+40 0.1727
0.3 1.4883191189435e+40 0.1703
0.3 1.69926618178422e+40 0.1703
0.3 1.94011184819373e+40 0.1694
0.3 2.21509379981273e+40 0.1694
0.3 2.52905034652355e+40 0.1694
0.3 2.88750555655553e+40 0.1861
0.3 3.29676645251449e+40 0.1861
0.3 3.76403398350168e+40 0.1943
0.3 4.29752972587713e+40 0.1943
0.3 4.90664054196878e+40 0.2325
0.3 5.60208374199861e+40 0.2325
0.3 6.39609565525095e+40 0.2325
0.3 7.30264692839543e+40 0.2598
0.3 8.33768833913895e+40 0.2598
0.3 9.51943145030131e+40 0.3015
0.3 1.08686690424248e+41 0.3015
0.3 1.24091409629328e+41 0.3359
0.3 1.41679518289555e+41 0.3359
0.3 1.61760479333101e+41 0.3773
0.3 1.84687617447975e+41 0.3773
0.3 2.10864335833047e+41 0.3773
0.3 2.4075121408092e+41 0.4117
0.3 2.74874112079945e+41 0.4117
0.3 3.13833422523646e+41 0.4667
0.3 3.58314634825487e+41 0.4667
0.3 4.09100396311194e+41 0.5163
0.3 4.67084282905416e+41 0.5163
0.3 5.33286521608031e+41 0.5163
0.3 6.08871941397313e+41 0.5946
0.3 6.95170468406135e+41 0.5946
0.3 7.93700525984097e+41 0.6728
0.3 9.06195751369867e+41 0.6728
0.3 1.03463549905376e+42 0.7397
0.3 1.18127966753764e+42 0.7397
0.3 1.34870846226912e+42 0.7397
0.3 1.53986779437934e+42 0.8136
0.3 1.75812111401549e+42 0.8136
0.3 2.00730859027603e+42 0.8452
0.3 2.29181467902013e+42 0.8452
0.3 2.61664526740747e+42 0.8828
0.3 2.98751575252729e+42 0.8828
0.3 3.41095160386101e+42 0.899
0.3 3.89440317897556e+42 0.899
0.3 4.44637681263124e+42 0.899
0.3 5.07658448581727e+42 0.9185
0.3 5.79611470814359e+42 0.9185
0.3 6.61762762026614e+42 0.9355
0.3 7.55557774917379e+42 0.9355
0.3 8.62646833571973e+42 0.9546
0.3 9.84914170929053e+42 0.9546
0.3 1.12451108187593e+43 0.9546
0.3 1.28389377530122e+43 0.9726
0.3 1.4658665911121e+43 0.9726
0.3 1.67363134261978e+43 0.9922
0.3 1.91084365247335e+43 0.9922
0.3 2.18167727337263e+43 1.009
0.3 2.49089752528407e+43 1.009
0.3 2.84394514128792e+43 1.027
0.3 3.24703199732501e+43 1.027
0.3 3.70725041020933e+43 1.027
0.3 4.23269792700523e+43 1.042
0.3 4.83261980144005e+43 1.042
0.3 5.5175716642256e+43 1.058
0.3 6.2996052494744e+43 1.058
0.3 7.19248044506816e+43 1.074
0.3 8.21190739800786e+43 1.074
0.3 9.37582293458945e+43 1.074
0.3 1.0704706159022e+44 1.088
0.3 1.22219387834487e+44 1.088
0.3 1.39542165293784e+44 1.099
0.3 1.59320188391447e+44 1.099
0.3 1.81901451619634e+44 1.112
0.3 2.0768327250551e+44 1.112
0.3 2.37119282416671e+44 1.112
0.3 2.70727408209078e+44 1.121
0.3 3.09098985154704e+44 1.121
0.3 3.5290916149089e+44 1.131
0.3 4.02928777659586e+44 1.131
0.3 4.60037929251778e+44 1.139
0.3 5.25241452297211e+44 1.139
0.3 5.99686603363297e+44 1.148
0.3 6.84683245544589e+44 1.148
0.3 7.81726895515578e+44 1.148
0.3 8.92525037159882e+44 1.155
0.3 1.0190271647643e+45 1.155
0.3 1.16345908438818e+45 1.164
0.3 1.32836207694079e+45 1.164
0.3 1.51663761204147e+45 1.169
0.3 1.73159839940343e+45 1.169
0.3 1.97702667599047e+45 1.169
0.3 2.25724075451014e+45 1.174
0.3 2.57717100416405e+45 1.174
0.3 2.9424466005379e+45 1.179
0.3 3.35949457099589e+45 1.179
0.3 3.83565287828418e+45 1.185
0.3 4.37929953205086e+45 1.185
0.3 5e+45 1.19
0.35 1e+40 0.2385
0.35 1.14173510247619e+40 0.2545
0.35 1.30355904422631e+40 0.2545
0.35 1.4883191189435e+40 0.2774
0.35 1.69926618178422e+40 0.2774
0.35 1.94011184819373e+40 0.2774
0.35 2.21509379981273e+40 0.2858
0.35 2.52905034652355e+40 0.2858
0.35 2.88750555655553e+40 0.2905
0.35 3.29676645251449e+40 0.2905
0.35 3.76403398350168e+40 0.2925
0.35 4.29752972587713e+40 0.2925
0.35 4.90664054196878e+40 0.2925
0.35 5.60208374199861e+40 0.3071
0.35 6.39609565525095e+40 0.3071
0.35 7.30264692839543e+40 0.3153
0.35 8.33768833913895e+40 0.3153
0.35 9.51943145030131e+40 0.3283
0.35 1.08686690424248e+41 0.3283
0.35 1.24091409629328e+41 0.337
